Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Buffalo Bills,17,1.18,2.12,,,,0.06,,3.35,0.18,0.35,,3.00,3.00,1.65,1.88,,28.4,28.4
2,New England Patriots,17,1.41,1.41,,,,0.18,,3.00,0.18,0.24,,2.47,2.76,2.12,2.29,,27.2,27.2
3,Denver Broncos,17,0.94,1.18,,,,0.06,,2.18,0.06,0.18,,1.94,2.00,1.53,1.82,,19.7,19.7
4,New Orleans Saints,17,0.71,1.71,,,,0.12,,2.53,,0.29,,1.82,2.24,1.47,1.76,,21.4,21.4
5,Tampa Bay Buccaneers,17,1.06,2.53,,,,0.12,,3.71,0.06,0.18,,3.29,3.47,1.47,1.82,,30.1,30.1
6,Tennessee Titans,17,1.35,1.29,,,0.12,0.12,,2.88,0.12,0.12,,2.53,2.76,1.53,1.88,,24.6,24.6
7,Dallas Cowboys,17,0.88,2.35,,0.06,0.06,0.29,0.12,3.76,0.35,0.59,,2.76,3.12,1.71,2.06,,31.2,31.2
8,Kansas City Chiefs,17,0.94,2.18,,,0.12,0.12,,3.35,0.12,0.18,,2.94,3.12,1.65,1.88,,28.2,28.2
9,San Francisco 49ers,17,1.29,1.53,,,,0.12,,2.94,0.12,0.18,,2.47,2.71,1.59,1.88,,25.1,25.1
10,Indianapolis Colts,17,1.29,1.59,,,0.06,,0.12,3.06,0.12,0.29,,2.71,2.76,1.71,2.06,0.06,26.5,26.5
11,Arizona Cardinals,17,1.35,1.59,,,0.06,0.06,,3.06,,0.18,,2.76,2.88,1.76,2.18,,26.4,26.4
12,Seattle Seahawks,17,1.06,1.76,,0.06,,,,2.88,0.06,0.12,0.06,2.59,2.76,1.00,1.35,0.06,23.2,23.2
13,Green Bay Packers,17,0.76,2.29,,,,0.12,,3.18,0.06,0.18,,2.88,3.00,1.47,2.00,,26.5,26.5
14,Cleveland Browns,17,1.18,1.24,,,0.06,0.06,,2.53,0.18,0.24,,2.18,2.29,0.94,1.29,,20.5,20.5
15,Los Angeles Rams,17,0.59,2.41,0.06,,,,,3.06,0.12,0.18,,2.82,2.88,1.88,2.00,,27.1,27.1
16,Miami Dolphins,17,0.71,1.24,,,0.12,0.18,0.06,2.29,0.12,0.18,,2.00,2.06,1.35,1.82,,20.1,20.1
17,Cincinnati Bengals,17,0.94,2.12,,,0.06,0.06,,3.18,0.06,0.29,,2.76,2.88,1.71,2.00,,27.1,27.1
18,Philadelphia Eagles,17,1.47,1.18,,,0.18,0.12,,2.94,0.29,0.35,,2.59,2.59,1.76,1.94,,26.1,26.1
19,Baltimore Ravens,17,1.06,1.24,,,0.06,0.06,,2.41,0.12,0.47,,1.88,1.88,2.06,2.18,,22.8,22.8
20,Pittsburgh Steelers,17,0.59,1.35,,,,,0.06,2.00,0.12,0.29,,1.59,1.71,2.12,2.35,,20.2,20.2
21,Carolina Panthers,17,1.00,0.82,,,,,0.06,1.88,0.18,0.24,,1.53,1.65,1.53,1.71,0.06,17.9,17.9
22,Chicago Bears,17,0.82,0.94,0.06,,0.06,0.06,,1.94,0.18,0.24,,1.59,1.65,1.53,1.76,0.06,18.3,18.3
23,New York Giants,17,0.47,0.88,,,,0.06,,1.41,0.24,0.29,,1.00,1.00,1.71,1.94,0.06,15.2,15.2
24,Minnesota Vikings,17,0.59,2.00,,0.12,,0.12,,2.82,0.06,0.41,,2.12,2.35,1.94,2.24,,25.0,25.0
25,Washington Football Team,17,0.76,1.24,,0.06,,0.12,,2.18,0.12,0.47,,1.47,1.71,1.65,1.94,,19.7,19.7
26,Las Vegas Raiders,17,0.82,1.35,,,,,,2.18,,0.18,,1.76,1.94,2.35,2.53,0.06,22.0,22.0
27,Houston Texans,17,0.47,1.24,,0.06,,0.06,,1.82,0.12,0.12,,1.47,1.71,1.24,1.59,0.06,16.5,16.5
28,Jacksonville Jaguars,17,0.76,0.71,,0.06,0.06,,0.06,1.65,0.12,0.35,,1.06,1.29,1.24,1.59,,14.9,14.9
29,Atlanta Falcons,17,0.65,1.18,,,,0.12,,1.94,0.06,0.18,,1.76,1.76,1.59,1.71,0.06,18.4,18.4
30,Los Angeles Chargers,17,1.06,2.24,,0.06,0.06,,,3.41,0.41,0.65,,2.35,2.76,1.41,1.59,,27.9,27.9
31,Detroit Lions,17,0.71,1.35,,,,,,2.06,0.29,0.35,,1.59,1.65,1.53,1.76,,19.1,19.1
32,New York Jets,17,0.82,1.18,,0.06,,0.06,,2.12,0.24,0.53,,1.35,1.59,1.24,1.59,,18.2,18.2
,Avg Team,,15.8,26.3,0.1,0.3,0.6,1.3,0.3,44.5,2.3,4.8,0.0,36.7,39.3,27.3,32.1,0.3,390.7,23.0
,League Total,,505,840,2,9,18,41,8,1423,75,154,1,1174,1257,874,1027,8,12502,23.0
,Avg Tm/G,,0.93,1.54,,0.02,0.03,0.08,0.01,2.62,0.14,0.28,0.00,2.16,2.31,1.61,1.89,0.01,23.0,
