,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Buffalo Bills,17,17.0,272.8,59.6,4.6,1.76,0.65,16.8,17.5,31.2,163.0,0.71,1.12,4.8,8.12,26.0,109.8,1.12,4.2,6.35,6.00,49.6,2.29,28.0,14.5,2.13
2,New England Patriots,17,17.8,310.8,61.1,5.1,1.76,0.41,18.1,18.8,31.6,187.1,1.24,1.35,5.5,10.4,27.3,123.7,0.53,4.5,6.53,5.88,48.9,1.24,29.4,16.9,-0.28
3,Denver Broncos,17,18.9,326.1,61.1,5.3,1.12,0.35,18.4,20.1,33.1,214.8,1.29,0.76,6.1,11.3,25.9,111.3,0.53,4.3,5.82,6.12,54.2,1.24,32.7,10.7,-2.13
4,New Orleans Saints,17,19.7,318.2,62.6,5.1,1.47,0.41,17.9,21.7,34.8,224.8,1.18,1.06,6.0,10.9,25.1,93.5,0.71,3.7,4.94,5.24,44.8,2.06,32.3,12.8,2.53
5,Tampa Bay Buccaneers,17,20.8,331.5,64.3,5.2,1.71,0.71,20.2,26.2,40.0,238.9,1.53,1.00,5.6,12.6,21.5,92.5,0.65,4.3,5.53,4.65,37.4,2.12,33.5,14.7,-0.04
6,Tennessee Titans,17,20.8,329.8,61.1,5.4,1.29,0.35,19.5,23.2,36.9,245.2,1.41,0.94,6.2,12.0,21.6,84.6,0.82,3.9,5.29,6.94,62.9,2.18,37.1,10.8,-1.80
7,Dallas Cowboys,17,21.1,351.0,63.6,5.5,2.00,0.47,19.2,21.4,36.0,238.2,1.41,1.53,6.2,11.2,25.2,112.8,0.76,4.5,5.82,7.12,57.2,2.18,32.5,16.7,1.28
8,Kansas City Chiefs,17,21.4,368.9,62.4,5.9,1.71,0.82,21.4,23.6,35.9,251.4,1.59,0.88,6.7,12.3,24.6,117.6,0.88,4.8,7.12,6.82,53.6,1.94,37.3,16.0,-7.25
9,San Francisco 49ers,17,21.5,310.0,60.7,5.1,1.18,0.65,18.7,21.9,32.1,206.5,1.47,0.53,5.9,10.6,25.8,103.5,1.00,4.0,5.71,5.53,46.6,2.41,34.4,9.3,-2.51
10,Indianapolis Colts,17,21.5,343.2,61.8,5.6,1.94,0.82,19.6,22.9,35.1,234.1,1.88,1.12,6.3,12.5,24.7,109.1,0.59,4.4,5.94,6.41,57.5,1.18,35.4,17.1,-2.90
11,Arizona Cardinals,17,21.5,329.2,60.5,5.4,1.59,0.82,19.8,21.6,33.0,214.4,1.76,0.76,6.1,11.3,25.1,114.8,0.59,4.6,6.41,5.88,52.7,2.06,35.6,15.3,-1.14
12,Seattle Seahawks,17,21.5,379.1,70.6,5.4,1.06,0.41,23.5,26.1,38.7,265.5,1.41,0.65,6.5,14.1,29.9,113.6,0.94,3.8,7.29,5.65,54.1,2.12,35.4,8.5,-5.73
13,Green Bay Packers,17,21.8,328.2,61.0,5.4,1.53,0.47,19.8,22.3,35.5,219.1,1.82,1.06,5.8,11.4,23.2,109.1,0.76,4.7,7.06,5.18,42.2,1.35,36.6,14.0,-3.27
14,Cleveland Browns,17,21.8,311.5,62.1,5.0,1.12,0.35,19.2,21.6,33.9,202.3,1.71,0.76,5.6,10.8,25.7,109.2,0.76,4.2,6.35,5.76,51.9,2.06,37.4,9.9,-3.21
15,Los Angeles Rams,17,21.9,344.9,65.8,5.2,1.47,0.35,20.4,24.5,36.8,241.7,1.00,1.12,6.1,12.6,26.1,103.2,1.06,4.0,6.53,5.18,40.5,1.29,35.9,13.3,-1.11
16,Miami Dolphins,17,21.9,337.5,63.6,5.3,1.53,0.71,19.8,21.9,35.8,227.7,1.35,0.82,5.9,11.7,25.0,109.8,0.94,4.4,6.24,6.41,58.3,1.88,36.3,13.0,-0.95
