,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Dallas Cowboys,17,31.2,407.0,67.8,6.0,1.18,0.53,22.9,26.1,38.1,282.4,2.35,0.65,7.1,14.6,27.8,124.6,0.88,4.5,6.53,7.47,64.9,1.82,43.8,9.9,9.30
2,Tampa Bay Buccaneers,17,30.1,405.9,67.0,6.1,1.12,0.41,23.8,28.9,43.0,307.6,2.53,0.71,6.9,16.1,22.6,98.4,1.06,4.3,6.24,5.71,51.4,1.47,44.3,9.8,12.7
3,Buffalo Bills,17,28.4,381.9,67.2,5.7,1.29,0.35,23.4,24.4,38.5,252.0,2.12,0.94,6.3,13.9,27.1,129.9,1.18,4.8,7.88,6.65,57.6,1.65,45.2,11.3,12.7
4,Kansas City Chiefs,17,28.2,396.8,66.7,5.9,1.47,0.71,24.6,26.4,39.7,281.8,2.18,0.76,6.8,15.7,25.4,115.0,0.94,4.5,7.00,6.53,54.4,1.94,48.2,13.7,14.7
5,Los Angeles Chargers,17,27.9,390.2,66.4,5.9,1.29,0.41,23.6,26.1,39.6,282.4,2.24,0.88,6.8,15.1,24.9,107.9,1.06,4.3,6.59,6.82,60.8,1.94,45.7,12.0,9.70
6,New England Patriots,17,27.2,353.4,61.9,5.7,1.35,0.59,21.3,21.4,31.5,226.9,1.41,0.76,6.9,11.0,28.8,126.5,1.41,4.4,8.18,5.59,50.2,2.12,48.0,12.6,7.47
7,Cincinnati Bengals,17,27.1,361.5,61.5,5.9,1.24,0.41,19.8,22.6,32.6,259.0,2.12,0.82,7.2,12.2,25.6,102.5,0.94,4.0,5.65,4.24,36.5,1.94,42.6,10.0,6.80
8,Los Angeles Rams,17,27.1,372.1,62.2,6.0,1.35,0.29,20.9,23.9,35.7,273.1,2.41,1.06,7.3,13.7,24.7,99.0,0.59,4.0,5.82,4.47,37.5,1.35,45.9,12.2,8.89
9,Indianapolis Colts,17,26.5,347.1,61.9,5.6,1.12,0.65,20.8,19.1,30.6,197.7,1.59,0.47,6.1,9.82,29.4,149.4,1.29,5.1,9.06,4.47,40.5,1.94,43.3,8.9,7.47
